id,email,username,password,first_name,last_name,role,phone,class_ref,is_staff,is_active,subject_refs
admin_01,admin@modelpolytechnic.edu.in,admin,Admin@123,Rajesh,Patil,admin,+91-9876543210,,true,true,
examiner_01,examiner@modelpolytechnic.edu.in,examiner1,Examiner@123,Priya,Kulkarni,examiner,+91-9876543211,,false,true,
examiner_02,examiner2@modelpolytechnic.edu.in,examiner2,Examiner@123,Vikram,Deshmukh,examiner,+91-9876543212,,false,true,
teacher_dms,dbms.teacher@modelpolytechnic.edu.in,dbms_teacher,Teacher@123,Santosh,Jadhav,teacher,+91-9876543213,,false,true,dms_co4|dms_if3
teacher_dsu,dsu.teacher@modelpolytechnic.edu.in,dsu_teacher,Teacher@123,Aarti,Shinde,teacher,+91-9876543214,,false,true,dsu_co3|dsu_if3
teacher_ooj,oop.teacher@modelpolytechnic.edu.in,oop_teacher,Teacher@123,Mahesh,Pawar,teacher,+91-9876543215,,false,true,ooj_co3|jav_if4
teacher_dte,digital.teacher@modelpolytechnic.edu.in,digital_teacher,Teacher@123,Kavita,Joshi,teacher,+91-9876543216,,false,true,dte_co3|del_ej3
student_01,rahul.patil@modelpolytechnic.edu.in,rahul_patil,Student@123,Rahul,Patil,student,+91-9876543220,co_sem3,false,true
student_02,sneha.gaikwad@modelpolytechnic.edu.in,sneha_gaikwad,Student@123,Sneha,Gaikwad,student,+91-9876543221,co_sem3,false,true
student_03,amit.bhosale@modelpolytechnic.edu.in,amit_bhosale,Student@123,Amit,Bhosale,student,+91-9876543222,co_sem3,false,true
student_04,priya.kale@modelpolytechnic.edu.in,priya_kale,Student@123,Priya,Kale,student,+91-9876543223,co_sem3,false,true
student_05,vijay.more@modelpolytechnic.edu.in,vijay_more,Student@123,Vijay,More,student,+91-9876543224,co_sem3,false,true
student_06,anita.kadam@modelpolytechnic.edu.in,anita_kadam,Student@123,Anita,Kadam,student,+91-9876543225,co_sem4,false,true
student_07,sachin.pawar@modelpolytechnic.edu.in,sachin_pawar,Student@123,Sachin,Pawar,student,+91-9876543226,co_sem4,false,true
student_08,deepa.shinde@modelpolytechnic.edu.in,deepa_shinde,Student@123,Deepa,Shinde,student,+91-9876543227,co_sem4,false,true
student_09,rohit.jadhav@modelpolytechnic.edu.in,rohit_jadhav,Student@123,Rohit,Jadhav,student,+91-9876543228,co_sem4,false,true
student_10,meera.patil@modelpolytechnic.edu.in,meera_patil,Student@123,Meera,Patil,student,+91-9876543229,co_sem4,false,true
student_11,ganesh.kulkarni@modelpolytechnic.edu.in,ganesh_kulkarni,Student@123,Ganesh,Kulkarni,student,+91-9876543230,if_sem3,false,true
student_12,pooja.deshmukh@modelpolytechnic.edu.in,pooja_deshmukh,Student@123,Pooja,Deshmukh,student,+91-9876543231,if_sem3,false,true
student_13,akash.gaikwad@modelpolytechnic.edu.in,akash_gaikwad,Student@123,Akash,Gaikwad,student,+91-9876543232,if_sem3,false,true
student_14,swati.bhosale@modelpolytechnic.edu.in,swati_bhosale,Student@123,Swati,Bhosale,student,+91-9876543233,if_sem3,false,true
student_15,suresh.kale@modelpolytechnic.edu.in,suresh_kale,Student@123,Suresh,Kale,student,+91-9876543234,if_sem4,false,true
student_16,megha.more@modelpolytechnic.edu.in,megha_more,Student@123,Megha,More,student,+91-9876543235,if_sem4,false,true
student_17,nikhil.kadam@modelpolytechnic.edu.in,nikhil_kadam,Student@123,Nikhil,Kadam,student,+91-9876543236,if_sem4,false,true
student_18,shruti.pawar@modelpolytechnic.edu.in,shruti_pawar,Student@123,Shruti,Pawar,student,+91-9876543237,if_sem4,false,true
student_19,vikram.shinde@modelpolytechnic.edu.in,vikram_shinde,Student@123,Vikram,Shinde,student,+91-9876543238,ej_sem3,false,true
student_20,anjali.jadhav@modelpolytechnic.edu.in,anjali_jadhav,Student@123,Anjali,Jadhav,student,+91-9876543239,ej_sem3,false,true
student_21,arun.patil@modelpolytechnic.edu.in,arun_patil,Student@123,Arun,Patil,student,+91-9876543240,ej_sem3,false,true
student_22,kavya.kulkarni@modelpolytechnic.edu.in,kavya_kulkarni,Student@123,Kavya,Kulkarni,student,+91-9876543241,ej_sem3,false,true
student_23,pratik.deshmukh@modelpolytechnic.edu.in,pratik_deshmukh,Student@123,Pratik,Deshmukh,student,+91-9876543242,ej_sem4,false,true
student_24,rashmi.gaikwad@modelpolytechnic.edu.in,rashmi_gaikwad,Student@123,Rashmi,Gaikwad,student,+91-9876543243,ej_sem4,false,true
student_25,sanjay.bhosale@modelpolytechnic.edu.in,sanjay_bhosale,Student@123,Sanjay,Bhosale,student,+91-9876543244,ej_sem4,false,true
student_26,nisha.kale@modelpolytechnic.edu.in,nisha_kale,Student@123,Nisha,Kale,student,+91-9876543245,ej_sem4,false,true
